CustomerID,Gender,Age,MaritalStatus,TenureMonths,Region,CreditCardType,AccountBalance,CreditLimit,TransactionsLast6Months,AvgTransactionValue,LatePayments,CustomerServiceCalls,OnlineBankingUsagePercent,OffersRedeemed,SatisfactionScore,Churn,ChurnReason,CustomerLifetimeValue,RiskSegment
CUST00022,Male,45,Single,109,Kolkata,Silver,70613,130474,7,2791,2,2,26,6,3,No,nan,304219,Medium
CUST00023,Female,31,Married,32,Pune,Silver,259491,487260,45,47663,1,2,64,9,4,Yes,Poor Service,1525216,Medium
CUST00024,Female,41,Single,57,Chennai,Silver,750074,1481788,33,12891,2,0,29,8,5,No,nan,734787,Medium
CUST00025,Female,41,Married,41,Hyderabad,Silver,79084,97451,10,35966,1,1,81,0,2,No,nan,1474606,Medium
CUST00026,Female,19,Married,54,Bengaluru,Gold,1180203,1576893,30,44834,4,1,97,1,5,Yes,Better Offers Elsewhere,2421036,Medium
CUST00027,Female,58,Married,27,Chennai,Silver,211011,262105,10,42470,2,1,84,9,3,No,nan,1146690,Medium
CUST00028,Female,50,Single,87,Chennai,Gold,126336,202254,37,47323,0,1,64,3,4,No,nan,4117101,Medium
CUST00029,Female,34,Married,74,Chennai,Gold,72243,142086,20,31296,2,1,46,8,1,No,nan,2315904,Medium
CUST00030,Female,26,Divorced,40,Mumbai,Silver,148666,247669,45,34309,2,2,31,9,1,Yes,Poor Service,1372360,High
CUST00031,Male,41,Single,41,Chennai,Gold,67460,110926,29,18091,2,0,33,7,5,No,nan,741731,Medium
CUST00032,Male,38,Married,70,Chennai,Silver,164999,307120,9,43140,2,1,46,0,2,No,nan,3019800,Medium
CUST00033,Female,41,Married,24,Hyderabad,Silver,695525,1351515,25,36889,0,0,13,3,1,Yes,Technical Issues,885336,Medium
CUST00034,Female,39,Married,18,Tier-2 Cities,Platinum,176421,310297,26,3852,2,1,4,8,2,Yes,Technical Issues,69336,High
CUST00035,Female,43,Single,74,Rural Areas,Platinum,118151,226412,7,18562,2,1,35,1,5,No,nan,1373588,Medium
CUST00036,Male,52,Single,56,Hyderabad,Platinum,40379,54114,38,28672,1,1,95,1,4,No,nan,1605632,Medium
CUST00037,Female,43,Divorced,15,Hyderabad,Silver,773176,1239188,7,11437,0,0,8,5,4,Yes,Better Offers Elsewhere,171555,Medium
CUST00038,Male,27,Single,109,Pune,Silver,53248,79429,7,28621,1,1,34,5,1,No,nan,3119689,Medium
CUST00039,Male,51,Single,107,Pune,Gold,51618,75672,33,15102,0,2,24,5,1,Yes,Poor Service,1615914,Medium
CUST00040,Male,54,Married,98,Mumbai,Silver,206092,282634,15,42240,3,2,74,9,1,No,nan,4139520,Medium
CUST00041,Male,69,Single,72,Ahmedabad,Silver,310631,594919,40,23636,3,0,45,0,1,Yes,Low Satisfaction,1701792,Medium
CUST00042,Male,26,Married,114,Mumbai,Silver,435102,678887,12,1445,3,5,12,8,5,Yes,Poor Service,164730,Medium
CUST00043,Female,40,Married,35,Tier-2 Cities,Silver,1239650,2013443,22,20312,1,1,60,1,2,Yes,Technical Issues,710920,Medium
CUST00044,Female,18,Married,119,Chennai,Platinum,1098154,1560530,11,8473,0,2,29,6,3,Yes,Technical Issues,1008287,Medium
CUST00045,Female,43,Married,27,Tier-2 Cities,Silver,132385,260835,26,24052,3,2,97,0,5,No,nan,649404,Medium
CUST00046,Female,32,Single,89,Ahmedabad,Gold,7153,12081,21,14618,2,0,31,0,1,Yes,Technical Issues,1301002,Medium
CUST00047,Female,57,Single,3,Tier-2 Cities,Silver,188549,226363,31,11790,0,1,29,8,1,Yes,Poor Service,35370,High
CUST00048,Male,30,Married,21,Hyderabad,Gold,57526,81359,48,25623,4,1,81,6,1,No,nan,538083,High
CUST00049,Female,21,Married,39,Tier-2 Cities,Gold,62714,125395,26,16883,3,1,55,4,3,Yes,Better Offers Elsewhere,658437,Medium
CUST00050,Female,33,Divorced,32,Chennai,Silver,45352,89788,1,10866,1,0,66,9,2,Yes,High Fees,347712,Medium
CUST00051,Male,18,Married,50,Bengaluru,Platinum,58347,95437,44,2297,1,0,70,2,1,Yes,Poor Service,114850,Medium
CUST00052,Female,45,Single,117,Bengaluru,Gold,116637,192601,32,26956,2,1,54,7,4,No,nan,3153852,Medium
CUST00053,Male,18,Married,85,Ahmedabad,Platinum,160903,309138,25,44516,1,0,97,0,1,Yes,Better Offers Elsewhere,3783860,Medium
CUST00054,Female,38,Single,9,Delhi,Platinum,118677,209684,27,21927,1,0,7,7,3,Yes,Technical Issues,197343,High
CUST00055,Male,18,Single,50,Hyderabad,Gold,489398,952257,18,2757,2,0,42,3,3,Yes,Better Offers Elsewhere,137850,Medium
CUST00056,Female,34,Married,1,Tier-2 Cities,Platinum,212590,336595,42,2697,2,1,47,1,3,Yes,Low Satisfaction,2697,High
CUST00057,Female,54,Married,4,Tier-2 Cities,Silver,981401,1943881,4,8722,4,1,57,6,3,Yes,Poor Service,34888,High
CUST00058,Male,41,Married,4,Ahmedabad,Silver,134988,220251,32,25687,0,2,31,3,5,Yes,Technical Issues,102748,High
CUST00059,Male,29,Single,113,Ahmedabad,Silver,32650,56023,19,14652,3,0,77,3,1,Yes,Poor Service,1655676,Medium
CUST00060,Male,37,Single,90,Mumbai,Silver,55821,70672,29,21281,2,0,68,5,4,No,nan,1915290,Medium
CUST00061,Male,38,Single,119,Pune,Silver,264014,445999,44,36180,1,1,6,1,5,Yes,High Fees,4305420,Medium
CUST00062,Male,42,Single,34,Mumbai,Silver,644535,1169328,7,11504,1,0,73,4,2,No,nan,391136,Medium
CUST00063,Male,24,Single,27,Tier-2 Cities,Platinum,48652,75480,37,42142,5,1,19,8,5,No,nan,1137834,Medium
CUST00064,Male,43,Married,15,Bengaluru,Silver,353908,566943,16,26015,2,1,61,2,1,Yes,Technical Issues,390225,High
CUST00065,Male,18,Divorced,109,Mumbai,Silver,103740,157131,43,15916,4,2,20,3,5,No,nan,1734844,Medium
CUST00066,Female,31,Single,32,Ahmedabad,Gold,77514,153108,0,6652,2,2,91,2,3,No,nan,212864,Medium
CUST00067,Female,33,Single,41,Pune,Silver,234051,370104,2,7672,4,0,28,6,5,No,nan,314552,Medium
CUST00068,Male,44,Married,71,Delhi,Platinum,157198,204509,45,3685,2,1,69,2,3,Yes,Low Satisfaction,261635,Medium
CUST00069,Female,38,Married,61,Pune,Silver,29444,36012,25,25852,0,0,37,6,5,No,nan,1576972,Low
CUST00070,Female,23,Divorced,63,Kolkata,Platinum,134254,244070,30,31243,1,1,41,4,2,No,nan,1968309,Medium
CUST00071,Female,28,Single,61,Pune,Gold,269996,442290,7,31712,0,2,2,2,1,No,nan,1934432,Medium
CUST00072,Female,39,Single,108,Rural Areas,Silver,255264,306882,42,27118,1,1,36,0,1,Yes,Low Satisfaction,2928744,Medium
CUST00073,Male,37,Married,108,Pune,Silver,38893,58573,45,9661,1,1,16,4,5,Yes,High Fees,1043388,Medium
CUST00074,Female,32,Married,14,Delhi,Platinum,578121,1116490,7,49033,2,1,32,8,3,Yes,Poor Service,686462,High
CUST00075,Male,33,Married,23,Delhi,Gold,34355,67274,34,17967,1,0,9,9,2,No,nan,413241,Medium
CUST00076,Female,44,Married,111,Pune,Gold,46792,58155,38,22089,1,1,36,3,3,Yes,Low Satisfaction,2451879,Medium
CUST00077,Female,32,Single,65,Bengaluru,Gold,51581,66990,27,38130,1,2,32,8,1,No,nan,2478450,Medium
CUST00078,Female,37,Married,32,Chennai,Silver,284114,342043,3,3570,2,1,27,9,3,Yes,Poor Service,114240,Medium
CUST00079,Male,59,Married,41,Pune,Silver,123370,233778,15,45208,3,2,86,2,2,Yes,Better Offers Elsewhere,1853528,Medium
CUST00080,Female,23,Married,26,Delhi,Silver,118966,149505,12,9063,1,0,41,7,2,Yes,High Fees,235638,Medium
CUST00081,Male,19,Married,48,Delhi,Platinum,434809,559303,19,25754,0,2,57,4,3,No,nan,1236192,Medium
CUST00082,Female,45,Married,73,Tier-2 Cities,Gold,767999,1061449,4,48199,3,2,47,5,4,No,nan,3518527,Medium
CUST00083,Male,31,Single,16,Mumbai,Silver,73568,142265,36,17085,3,1,50,3,2,Yes,High Fees,273360,High
CUST00084,Female,34,Single,31,Bengaluru,Silver,375127,656692,19,30797,5,0,9,5,2,Yes,Technical Issues,954707,Medium
CUST00085,Male,30,Married,66,Rural Areas,Silver,274680,465171,23,49740,2,1,7,2,4,No,nan,3282840,Medium
CUST00086,Male,35,Single,32,Chennai,Silver,37639,68793,35,15272,2,1,15,6,1,Yes,Low Satisfaction,488704,High
CUST00087,Female,53,Married,10,Kolkata,Gold,91857,161174,33,14955,4,0,95,3,5,No,nan,149550,Medium
CUST00088,Male,46,Married,25,Bengaluru,Gold,14828,26642,44,6799,1,3,61,4,5,No,nan,169975,Medium
CUST00089,Female,46,Single,82,Tier-2 Cities,Platinum,72931,91814,47,10688,2,0,48,5,5,No,nan,876416,Low
CUST00090,Female,23,Single,109,Kolkata,Silver,58318,97496,33,45954,2,1,88,4,5,No,nan,5008986,Low
CUST00091,Female,26,Divorced,98,Pune,Silver,305681,551010,18,47279,1,0,100,1,1,No,nan,4633342,Medium
CUST00092,Female,18,Single,93,Pune,Gold,579852,958221,16,25263,0,0,14,3,4,No,nan,2349459,Medium
CUST00093,Female,29,Single,45,Tier-2 Cities,Gold,47012,56858,4,33017,3,0,15,7,2,Yes,Technical Issues,1485765,Medium
CUST00094,Female,47,Single,24,Delhi,Gold,102514,140330,24,22055,5,1,80,7,1,Yes,Technical Issues,529320,High
CUST00095,Female,43,Married,3,Bengaluru,Gold,247405,487467,17,29823,2,1,26,6,5,Yes,Low Satisfaction,89469,High
CUST00096,Female,35,Single,62,Chennai,Silver,359926,634821,49,18438,2,0,46,9,3,No,nan,1143156,Medium
CUST00097,Female,37,Married,79,Ahmedabad,Gold,805535,1410333,7,22483,2,0,25,1,5,No,nan,1776157,Medium
CUST00098,Female,31,Married,67,Mumbai,Silver,395582,683645,26,13374,3,1,71,3,1,Yes,Technical Issues,896058,Medium
CUST00099,Female,40,Single,55,Tier-2 Cities,Silver,191730,249679,14,25305,4,1,40,8,1,Yes,Low Satisfaction,1391775,Medium
CUST00100,Male,45,Single,95,Kolkata,Silver,442392,532315,44,46709,0,0,10,5,2,Yes,Poor Service,4437355,Medium
CUST00101,Male,21,Married,10,Chennai,Silver,36170,56154,12,33322,1,1,90,7,3,Yes,Technical Issues,333220,High
CUST00102,Female,40,Married,102,Ahmedabad,Gold,47601,74041,15,21250,0,0,8,8,5,No,nan,2167500,Low
CUST00103,Female,47,Single,55,Tier-2 Cities,Silver,354159,654997,21,37299,3,1,53,4,3,Yes,High Fees,2051445,Medium
CUST00104,Female,33,Single,22,Bengaluru,Gold,102550,137955,19,42583,0,1,10,4,4,No,nan,936826,Medium
CUST00105,Female,45,Married,14,Chennai,Platinum,28129,39945,12,28446,2,0,6,8,4,Yes,Technical Issues,398244,Medium
CUST00106,Female,66,Married,73,Mumbai,Silver,120469,152103,19,2052,6,1,27,5,2,Yes,Low Satisfaction,149796,Medium
CUST00107,Female,36,Single,82,Bengaluru,Silver,341634,519249,1,30549,2,0,93,6,3,Yes,Technical Issues,2505018,Medium
CUST00108,Female,41,Married,8,Rural Areas,Gold,499331,701456,34,8295,2,0,61,7,1,Yes,Technical Issues,66360,High
CUST00109,Female,30,Single,102,Kolkata,Silver,53025,74782,46,5771,0,2,54,7,5,No,nan,588642,Low
CUST00110,Male,39,Single,15,Ahmedabad,Silver,119026,167022,18,15165,1,2,35,2,1,Yes,Poor Service,227475,High
CUST00111,Female,42,Single,110,Mumbai,Silver,46841,64884,44,615,0,1,72,4,4,No,nan,67650,Medium
CUST00112,Male,39,Married,15,Mumbai,Silver,430014,626029,36,36881,3,1,98,0,3,Yes,Low Satisfaction,553215,Medium
CUST00113,Female,27,Married,52,Bengaluru,Platinum,167290,272574,5,29494,1,2,62,2,2,No,nan,1533688,Medium
CUST00114,Female,40,Married,70,Tier-2 Cities,Platinum,1249738,1937304,13,27686,3,0,50,1,3,No,nan,1938020,Medium
CUST00115,Male,52,Married,54,Tier-2 Cities,Gold,93270,116658,3,30767,2,0,76,9,4,No,nan,1661418,Medium
CUST00116,Female,42,Married,76,Mumbai,Platinum,166312,256234,21,39640,0,1,47,1,1,No,nan,3012640,Medium
CUST00117,Male,47,Single,42,Chennai,Platinum,42939,80597,38,49398,3,1,67,1,3,Yes,High Fees,2074716,Medium
CUST00118,Female,35,Single,19,Ahmedabad,Silver,151786,194371,35,25435,2,0,9,0,3,No,nan,483265,Medium
CUST00119,Female,45,Divorced,40,Delhi,Platinum,786680,1538344,33,32248,4,0,25,5,5,Yes,Technical Issues,1289920,Medium
CUST00120,Male,40,Married,69,Chennai,Gold,928097,1342837,26,25103,1,1,66,3,2,Yes,High Fees,1732107,Medium
CUST00121,Female,28,Married,27,Pune,Platinum,107576,130342,6,4337,0,1,52,9,2,No,nan,117099,Medium
CUST00122,Male,41,Single,74,Pune,Platinum,706058,990263,2,36801,3,2,42,1,5,No,nan,2723274,Medium
CUST00123,Female,28,Single,43,Kolkata,Silver,30894,38794,46,10110,1,1,16,4,5,No,nan,434730,Medium
CUST00124,Male,31,Married,52,Pune,Silver,52121,86161,32,29115,1,0,26,1,4,No,nan,1513980,Medium
CUST00125,Male,39,Single,46,Hyderabad,Silver,613827,891927,1,11608,1,0,21,7,1,No,nan,533968,Medium
CUST00126,Female,40,Married,14,Delhi,Silver,48384,89292,41,39099,1,0,35,3,5,Yes,Technical Issues,547386,Medium
CUST00127,Female,26,Married,64,Tier-2 Cities,Platinum,59382,106062,15,22847,2,1,71,4,4,No,nan,1462208,Medium
CUST00128,Male,48,Single,61,Kolkata,Platinum,143490,225979,24,34562,2,2,32,7,1,Yes,Poor Service,2108282,Medium
CUST00129,Female,43,Single,98,Delhi,Silver,140162,231054,14,48931,1,0,89,5,3,No,nan,4795238,Medium
CUST00130,Female,30,Single,58,Hyderabad,Gold,47172,79579,23,8050,1,0,94,0,5,Yes,High Fees,466900,Low
CUST00131,Female,22,Single,49,Rural Areas,Silver,439562,622667,14,28705,1,1,52,5,2,No,nan,1406545,Medium
CUST00132,Male,36,Married,79,Kolkata,Silver,115846,151932,30,18959,2,0,10,0,2,Yes,High Fees,1497761,Medium
CUST00133,Male,33,Single,29,Delhi,Silver,70619,106014,13,47098,2,2,92,5,3,No,nan,1365842,Medium
CUST00134,Male,39,Single,119,Rural Areas,Silver,70642,90131,13,46299,2,1,28,6,3,No,nan,5509581,Medium
CUST00135,Male,34,Married,26,Rural Areas,Platinum,139481,202511,5,24250,3,1,37,5,3,No,nan,630500,Medium
CUST00136,Male,18,Married,27,Pune,Silver,525287,862564,13,45137,7,4,100,3,4,Yes,Better Offers Elsewhere,1218699,Medium
CUST00137,Male,34,Single,67,Rural Areas,Gold,637421,1040328,16,28229,2,1,57,3,3,No,nan,1891343,Medium
CUST00138,Male,34,Married,67,Delhi,Gold,830931,1077294,17,39085,4,1,14,1,4,No,nan,2618695,Medium
CUST00139,Male,44,Divorced,35,Pune,Silver,123915,149524,19,18662,3,2,53,1,5,Yes,High Fees,653170,Medium
CUST00140,Male,31,Single,60,Hyderabad,Platinum,695470,884050,16,46135,4,2,61,6,5,No,nan,2768100,Medium
CUST00141,Female,54,Married,61,Chennai,Platinum,65751,80802,15,45354,2,0,56,9,4,No,nan,2766594,Medium
CUST00142,Male,18,Married,99,Chennai,Silver,33042,50236,39,11190,2,1,78,7,1,Yes,Poor Service,1107810,Medium
CUST00143,Female,51,Single,114,Hyderabad,Silver,363416,549412,38,29604,5,1,70,5,1,Yes,Better Offers Elsewhere,3374856,Medium
CUST00144,Female,35,Married,70,Tier-2 Cities,Silver,66673,92894,31,17257,1,2,57,5,5,Yes,Better Offers Elsewhere,1207990,Medium
CUST00145,Female,46,Divorced,78,Rural Areas,Silver,72561,99579,43,15270,3,2,48,6,5,No,nan,1191060,Medium
CUST00146,Male,38,Divorced,90,Hyderabad,Silver,866959,1315294,8,47597,5,2,52,2,1,Yes,Better Offers Elsewhere,4283730,Medium
CUST00147,Male,49,Single,3,Hyderabad,Gold,351916,446672,26,10957,3,0,28,9,1,Yes,Low Satisfaction,32871,High
CUST00148,Male,34,Single,33,Mumbai,Gold,69834,95773,45,43302,1,1,32,1,4,No,nan,1428966,Medium
CUST00149,Male,27,Divorced,42,Kolkata,Silver,531729,810649,32,18457,3,2,45,3,1,No,nan,775194,High
CUST00150,Female,52,Married,13,Mumbai,Silver,518472,661499,9,30119,0,3,53,1,2,Yes,Low Satisfaction,391547,High
CUST00151,Male,36,Single,29,Tier-2 Cities,Platinum,1170746,2192398,16,21328,3,1,79,6,1,No,nan,618512,Medium
CUST00152,Male,40,Married,9,Rural Areas,Silver,150052,261212,48,17671,1,3,97,8,1,No,nan,159039,High
CUST00153,Male,50,Single,32,Chennai,Silver,222379,335012,48,34813,1,1,84,6,2,No,nan,1114016,Medium
CUST00154,Male,27,Single,22,Delhi,Silver,264429,349130,35,46627,1,1,6,4,3,Yes,Better Offers Elsewhere,1025794,Medium
CUST00155,Male,43,Married,86,Tier-2 Cities,Platinum,226318,306740,16,13646,4,1,28,2,2,No,nan,1173556,Medium
CUST00156,Female,32,Single,58,Hyderabad,Silver,285539,370079,17,46766,2,0,8,0,5,Yes,High Fees,2712428,Medium
CUST00157,Male,36,Single,57,Rural Areas,Gold,142950,189847,22,46439,1,0,48,0,5,No,nan,2647023,Low
CUST00158,Female,38,Single,98,Bengaluru,Gold,75863,116678,33,14702,2,0,70,2,5,No,nan,1440796,Low
CUST00159,Male,22,Married,10,Delhi,Silver,644154,899581,7,37642,0,0,77,3,3,Yes,High Fees,376420,High
CUST00160,Female,30,Single,25,Hyderabad,Gold,13632,26005,12,22331,4,1,93,4,3,No,nan,558275,Medium
CUST00161,Male,51,Married,62,Rural Areas,Silver,55195,108664,22,10349,3,1,87,8,5,No,nan,641638,Medium
CUST00162,Male,46,Married,63,Hyderabad,Gold,242886,425801,19,20939,3,2,50,1,1,Yes,High Fees,1319157,Medium
CUST00163,Female,37,Married,76,Tier-2 Cities,Gold,43124,79650,21,17490,5,1,97,3,4,No,nan,1329240,Medium
CUST00164,Female,40,Single,115,Kolkata,Gold,87684,123116,46,13836,3,3,7,2,4,Yes,Poor Service,1591140,Medium
CUST00165,Female,35,Married,3,Tier-2 Cities,Silver,60093,104082,22,35844,1,1,54,7,3,Yes,Poor Service,107532,High
CUST00166,Male,51,Single,83,Kolkata,Platinum,278791,347484,40,23453,3,2,64,0,3,Yes,High Fees,1946599,Medium
CUST00167,Female,35,Married,97,Delhi,Silver,623909,1227960,34,5551,1,3,97,0,4,Yes,Low Satisfaction,538447,Medium
CUST00168,Male,40,Married,47,Mumbai,Silver,261568,454125,2,49974,4,0,83,8,1,No,nan,2348778,Medium
CUST00169,Male,49,Single,55,Tier-2 Cities,Silver,60132,87400,33,10568,3,0,94,0,1,Yes,Poor Service,581240,Medium
CUST00170,Female,30,Married,26,Rural Areas,Gold,872882,1587277,32,17467,0,0,78,3,3,No,nan,454142,Medium
CUST00171,Female,53,Single,13,Pune,Gold,0,0,45,22273,5,0,14,7,1,Yes,Technical Issues,289549,High
CUST00172,Male,22,Single,7,Bengaluru,Silver,203107,304861,16,44269,3,2,50,3,4,Yes,Technical Issues,309883,High
CUST00173,Male,54,Single,34,Hyderabad,Gold,139358,267083,44,31514,3,2,33,4,3,Yes,High Fees,1071476,Medium
CUST00174,Female,34,Married,22,Rural Areas,Silver,1069603,1508738,18,9347,7,0,68,1,2,No,nan,205634,High
CUST00175,Female,35,Single,84,Chennai,Gold,39162,67919,29,5381,1,0,85,8,3,No,nan,452004,Medium
CUST00176,Female,19,Single,107,Tier-2 Cities,Silver,179959,267793,22,41682,2,0,11,9,5,Yes,Poor Service,4459974,Medium
CUST00177,Male,33,Single,23,Delhi,Gold,100911,152768,14,8199,2,3,44,8,1,Yes,Technical Issues,188577,High
CUST00178,Male,27,Married,48,Chennai,Silver,80002,143743,13,24680,4,2,30,2,1,Yes,Technical Issues,1184640,High
CUST00179,Male,31,Married,14,Mumbai,Platinum,723708,1395428,1,49313,2,1,53,7,4,Yes,Technical Issues,690382,Medium
CUST00180,Male,36,Single,94,Pune,Silver,245224,326975,38,38391,1,3,92,8,3,Yes,Technical Issues,3608754,Medium
CUST00181,Male,47,Single,87,Chennai,Silver,778448,1106574,48,49479,2,3,21,2,4,No,nan,4304673,Medium
CUST00182,Male,40,Married,111,Kolkata,Silver,44586,70901,17,4050,2,1,71,0,3,No,nan,449550,Medium
CUST00183,Female,41,Married,52,Mumbai,Platinum,502352,849503,5,22663,1,3,63,1,3,Yes,Low Satisfaction,1178476,Medium
CUST00184,Male,27,Married,83,Delhi,Platinum,301146,474072,31,43902,1,0,59,7,2,Yes,Low Satisfaction,3643866,Medium
CUST00185,Male,29,Married,39,Chennai,Silver,190021,350479,20,30175,2,1,100,0,1,No,nan,1176825,Medium
CUST00186,Male,55,Single,41,Delhi,Gold,193056,350295,39,45445,3,0,27,6,5,No,nan,1863245,Medium
CUST00187,Female,30,Divorced,36,Mumbai,Platinum,758622,1156287,27,33434,1,1,20,1,5,Yes,Technical Issues,1203624,Medium
CUST00188,Male,54,Single,6,Rural Areas,Gold,0,0,26,27092,3,2,74,2,1,Yes,Better Offers Elsewhere,162552,High
CUST00189,Male,35,Divorced,23,Mumbai,Gold,113857,154344,1,41577,3,1,74,3,4,Yes,Poor Service,956271,Medium
CUST00190,Female,38,Single,10,Hyderabad,Silver,244211,388188,32,23539,1,1,86,2,5,Yes,High Fees,235390,Medium
CUST00191,Male,48,Married,99,Delhi,Silver,437518,849664,15,43269,3,2,76,3,2,No,nan,4283631,Medium
CUST00192,Male,50,Single,85,Bengaluru,Platinum,23920,39565,38,24226,1,2,42,4,2,No,nan,2059210,Medium
CUST00193,Male,36,Single,96,Kolkata,Platinum,290900,472513,21,35474,4,0,26,5,2,Yes,Low Satisfaction,3405504,Medium
CUST00194,Male,34,Married,60,Bengaluru,Gold,343948,611944,42,34518,1,1,22,4,5,No,nan,2071080,Medium
CUST00195,Male,37,Married,30,Hyderabad,Silver,402378,531877,46,5058,1,0,96,8,2,Yes,Better Offers Elsewhere,151740,Medium
CUST00196,Female,41,Divorced,97,Pune,Silver,460986,607365,12,32674,2,3,89,9,2,No,nan,3169378,Medium
CUST00197,Female,46,Married,70,Rural Areas,Gold,68173,100644,1,30905,1,1,35,8,4,Yes,Low Satisfaction,2163350,Medium
CUST00198,Female,38,Married,5,Hyderabad,Platinum,788501,1573755,13,43131,3,0,96,5,1,Yes,Low Satisfaction,215655,High
CUST00199,Male,44,Single,119,Delhi,Platinum,272343,517656,37,2651,2,1,37,5,5,Yes,Better Offers Elsewhere,315469,Medium
CUST00200,Male,54,Divorced,79,Tier-2 Cities,Gold,39929,69639,40,38345,2,2,15,8,1,Yes,High Fees,3029255,Medium
CUST00201,Male,41,Married,57,Delhi,Gold,199488,301810,27,16052,1,1,73,6,2,Yes,Better Offers Elsewhere,914964,Medium
CUST00202,Female,41,Married,43,Hyderabad,Silver,632187,1039150,6,35565,0,1,42,5,4,No,nan,1529295,Medium
CUST00203,Male,22,Married,52,Tier-2 Cities,Silver,68483,98810,17,42496,2,2,40,8,1,Yes,Better Offers Elsewhere,2209792,Medium
CUST00204,Male,18,Married,89,Tier-2 Cities,Platinum,1066559,1855221,40,3114,1,2,43,6,3,Yes,Better Offers Elsewhere,277146,Medium
CUST00205,Female,41,Divorced,77,Delhi,Gold,947974,1455212,35,35147,2,1,51,7,5,No,nan,2706319,Medium
CUST00206,Male,37,Single,6,Tier-2 Cities,Silver,54917,71181,40,1120,4,0,16,9,2,Yes,Technical Issues,6720,High
CUST00207,Female,32,Single,101,Ahmedabad,Silver,455623,625146,35,23582,3,2,51,4,2,No,nan,2381782,Medium
CUST00208,Female,40,Single,2,Pune,Gold,663660,1119564,43,22391,0,1,42,7,3,No,nan,44782,High
CUST00209,Female,37,Married,17,Ahmedabad,Silver,39293,68984,3,41530,4,2,22,9,2,Yes,Technical Issues,706010,High
CUST00210,Male,49,Single,88,Rural Areas,Silver,51073,65210,29,32814,0,0,0,0,1,Yes,Technical Issues,2887632,Medium
CUST00211,Male,38,Single,12,Ahmedabad,Gold,148022,273348,23,24000,7,2,92,6,2,No,nan,288000,High
CUST00212,Male,30,Single,44,Mumbai,Gold,107855,200553,19,35193,0,3,24,1,1,Yes,Technical Issues,1548492,Medium
CUST00213,Male,47,Married,54,Tier-2 Cities,Gold,126021,224124,45,28518,2,2,5,2,1,Yes,Low Satisfaction,1539972,High
CUST00214,Male,35,Married,78,Hyderabad,Silver,165437,288997,30,20067,4,0,73,7,5,No,nan,1565226,Medium
